Company Segment,Data Type,Key Metric,Data Source,Status,Backtest Safe,Where It Lives,Notes / Evidence
All (India entity),Regulatory — MCA/RoC,"Company master data: CIN, status, directors, capital, NIC industry code","Free: data.gov.in bulk ""Company Master Data"" + free API key; MCA21 for one-off. Paid: Tofler, Zauba Corp, Probe42, FileSure",Built - source unstable,No - source revises,app/sources/data_gov_mca.py,"Adapter complete and tested. Upstream API returns timeouts/502 as of 2026-09-09. Failures are recorded in collection_runs so the pipeline continues. Needs either upstream recovery or a paid aggregator. MCA filings are amended and restated, so a value backfilled today cannot be trusted as of a past date. Listed in REVISING_SOURCES. POINT-IN-TIME: MCA amends and restates filings, so a value backfilled today cannot be trusted as of a past date. Listed in REVISING_SOURCES and excluded from backtests."
All (India entity),Regulatory — MCA/RoC,Registered charges & satisfaction (secured borrowing),Free: included in data.gov.in master data. Paid: same aggregators,Not started,Not collected,—,"Blocked behind the same unstable data.gov.in endpoint. Cheap to add once that source is reliable, since the adapter already exists."
All (India entity),Regulatory — MCA/RoC,"Annual financials (AOC-4): balance sheet, P&L","Not free at scale — MCA21 ~₹100/document. Paid: Tofler, Probe42, Zauba Corp, FileSure (~₹330/company/yr), Datafin, CMIE Prowess",Skipped - client decision,Not collected,—,"Already marked ""Skip for now"" on the sheet. At 500 companies FileSure would be ~₹165,000/yr. Needs a budget decision before any work."
All (India entity),Regulatory — MCA/RoC,Director/auditor churn events,Free: data.gov.in master data includes current directors. Paid: aggregators offer change-alerts,Not started,Not collected,—,"Churn needs two snapshots over time, so this only works once MCA collection runs on a schedule. Same upstream blocker."
"4, 5, 6 (Foreign)",Regulatory — MCA/RoC,"India-subsidiary filings (FC-3 accounts, FC-4 return)",Same MCA21/data.gov.in route,Not started,Not collected,—,Would give India-only visibility for foreign parents. Same upstream blocker as all MCA work.
"All (India entity, above threshold)",Statutory payroll,Net new EPFO subscriber additions/exits,Free: data.gov.in / epfindia.gov.in monthly payroll releases — aggregate only,Not started,Not collected,—,"This is Phase 5 of the brief. Aggregate-only (age-band x industry), so it is a macro covariate, not company-level. Fits the existing macro storage path."
All (India entity),Statutory payroll,PF contribution payment timeliness,No clean public source found,Blocked - no source,Not collected,—,Confirmed: needs the establishment-level access work scoped in Phase 5. Not obtainable this cycle.
"1, 4-parent (Listed)",Financial — market,"Share price trend, volatility","Free: NSE/BSE lookups, yfinance. Paid: Bloomberg/Refinitiv, Trendlyne",Done,Yes,app/sources/market_data.py,"Yahoo Finance chart API, no key needed. 7 KPIs: price, period change, drawdown from 52w high, premium over 52w low, max drawdown, annualised volatility, volume. Verified live on TCS/INFY/NYKAA/SWIGGY/FRSH. Dated from the market data itself, and period_start/period_end record the window, so a point-in-time query can prove it does not contain the future. Backfill is recorded as a warning, not a blocker: this source does not restate, so today's copy is what would have been seen at a past date."
"1, 4-parent (Listed)",Financial — market,Promoter/insider pledge % and trend,"Free: BSE/NSE corporate announcement filings (manual). Paid: Trendlyne, Screener.in",Not started,Not collected,—,Genuinely predictive for distress. No free structured feed; NSE/BSE announcements would need a scraper. Recommend as a candidate after GDELT.
"1, 4-parent (Listed)",Financial — market,Credit rating & outlook changes,Free: individual lookup on CRISIL/ICRA/CARE/India Ratings (no bulk API). Paid: CMIE Prowess,Not started,Not collected,—,No bulk API exists. Per-company lookup does not scale to 200-500 companies without scraping four rating-agency sites.
"1, 4-parent (Listed)",Financial — market,"Interest coverage ratio, operating cash flow vs. reported profit",Derived from the financials above,Not in pipeline,Not collected,—,"Sheet said ""Partially done using screener.in"" — that is notebook-only, not in the production pipeline. Depends on financials, which are the paid/blocked row above."
"2, 5 (Funded)",Financial — private,"Funding round history, valuation trend","Free (partial): Entrackr, Inc42, YourStory (no API). Paid: Tracxn, Crunchbase, PitchBook",Partial - proxy only,Yes,app/sources/news_signals.py,"Only a keyword proxy today: funding_news_count from NewsAPI headlines. No round size, date, stage or valuation. This is the biggest gap for segments 2 and 5 and needs a client budget decision on Tracxn or Crunchbase. Now dated by the newest article in the window, with period_start/period_end recorded. Backfill is recorded as a warning, not a blocker: this source does not restate, so today's copy is what would have been seen at a past date."
"2, 5 (Funded)",Financial — private,Runway / burn rate,No clean public source — self-reported or estimated,Blocked - no source,Not collected,—,"Agreed with the sheet's own caveat. Would have to be derived from funding raised vs headcount x average cost, which is low-confidence. Not recommended as a feature."
"2, 5 (Funded)",Financial — private,"Investor tier, bridge financing / convertible notes","Same as funding round data — Tracxn, Crunchbase, startup media",Not started,Not collected,—,Same paid-source dependency as the funding round row.
All,Financial — universal,Revenue per employee,Derived: revenue ÷ headcount,Blocked - inputs missing,Not collected,—,"Cannot be derived yet: revenue comes from the blocked financials row, headcount from the blocked LinkedIn row. Glassdoor gives only a coarse size band (e.g. ""10000+ Employees"")."
All,Legal & insolvency,NCLT filing / IBC (CIRP) case status,"Free: NCLT case search, IBBI CIRP data/reports. Paid: Manupatra, LegitQuest, CaseMine",Not started,Not collected,—,"IBBI publishes CIRP lists as downloadable files, which is the most tractable free legal source on this sheet. Recommend as a candidate — a company entering CIRP is an unambiguous distress signal."
All (India entity),Legal & insolvency,GST/TDS filing default patterns,Free: GST portal GSTIN status (one-off lookup). Paid: GST-data API vendors,Not started,Not collected,—,Needs a GSTIN per company first; the registry does not store one. Two steps of work before any signal.
"1, 4 (Listed)",Ownership & capital structure,"Insider/promoter bulk & block deals, FII/DII holding change",Free: NSE/BSE bulk-deal disclosure pages. Paid/freemium: Trendlyne,Not started,Not collected,—,NSE/BSE publish bulk-deal data as daily files. Tractable but needs a scraper and NSE blocks unfamiliar user agents.
All,Workplace,"Overall + sub-category ratings (mgmt, growth, comp, job security)","No official API — Glassdoor closed its API in 2024, AmbitionBox never had one. Paid: Apify/RapidAPI scrapers",Done,No - undated snapshot,app/sources/glassdoor.py,"Apify burbn/glassdoor-company-search, moved from notebook into the pipeline. 10 rating KPIs incl. business outlook, CEO approval, work-life balance, senior management. Verified live on TCS/Razorpay/ZS Associates. AmbitionBox job-security sub-score is NOT covered — Glassdoor has no equivalent field. POINT-IN-TIME: the Apify actor returns a snapshot with no date, so nothing from it can be proven knowable at a past date. Usable in a current report, but the leakage check excludes it from any backtest. Repeated collection from now on builds a genuinely dated history."
All,Workplace,"Review volume/velocity, recency",Same source and caveat as above,Partial,No - undated snapshot,app/sources/glassdoor.py,"Volume done: review_count and salary_count. Velocity and recency are NOT available — the actor returns a point-in-time snapshot with no dates, so velocity only appears after repeated collection over several months. Start collecting now to have history later. POINT-IN-TIME: the Apify actor returns a snapshot with no date, so nothing from it can be proven knowable at a past date. Usable in a current report, but the leakage check excludes it from any backtest. Repeated collection from now on builds a genuinely dated history."
All,Hiring,Active job posting count/trend,"No free official API for LinkedIn or Naukri. Free (manual): careers pages. Paid: LinkedIn Talent Insights, Naukri, job-aggregator scrapers",Partial - count done,No - undated snapshot,app/sources/glassdoor.py,"NEW FINDING: the Glassdoor actor already returns jobCount in the same call, at no extra cost. Live: TCS 780 open roles, Razorpay 1. Count is done; trend needs repeat collection. This partly covers a row the sheet had listed as paid-only. POINT-IN-TIME: the Apify actor returns a snapshot with no date, so nothing from it can be proven knowable at a past date. Usable in a current report, but the leakage check excludes it from any backtest. Repeated collection from now on builds a genuinely dated history."
All,Hiring,Net headcount trend,Free: manual LinkedIn page view. Paid: LinkedIn vendors on Apify/RapidAPI,Partial - coarse proxy,No - undated snapshot,app/sources/glassdoor.py,"Only a size band (""501 to 1000 Employees""), which is too coarse to show a trend. A real headcount trend needs a paid LinkedIn source or the EPFO work in Phase 5. POINT-IN-TIME: the Apify actor returns a snapshot with no date, so nothing from it can be proven knowable at a past date. Usable in a current report, but the leakage check excludes it from any backtest. Repeated collection from now on builds a genuinely dated history."
All,Operational,"Office footprint changes (subleases, closures)",No dedicated feed — sourced through news,Partial - baseline only,No - undated snapshot,app/sources/glassdoor.py,"Glassdoor returns an office location list, so a count is stored as a baseline. Detecting changes needs repeated collection. No dedicated source exists. POINT-IN-TIME: the Apify actor returns a snapshot with no date, so nothing from it can be proven knowable at a past date. Usable in a current report, but the leakage check excludes it from any backtest. Repeated collection from now on builds a genuinely dated history."
All,Operational,"M&A activity, major client win/loss","Free: GDELT (includes sentiment/tone), NewsAPI free tier, Google News RSS. Paid: Factiva, LexisNexis, Meltwater",Partial - sources done,Yes,"app/sources/gdelt.py, app/sources/newsapi.py","GDELT DOC 2.0 now implemented alongside NewsAPI: free, no API key, no production licence restriction. Supplies coverage volume and a spike ratio that flags news events. What is still missing is event-type classification (M&A vs client win vs layoff), which is a text-classification task on the stored articles, not a source problem. Both sources now record their computation window, so a point-in-time query can exclude any window that runs past a prediction date. Backfill is recorded as a warning, not a blocker: this source does not restate, so today's copy is what would have been seen at a past date."
All,News & media,"Sentiment-scored company news, by event type",Same sources — GDELT free tier strongest for a pilot,Partial - sentiment done,Yes,"app/sources/gdelt.py, app/sources/gdelt_signals.py","Sentiment is now covered: GDELT returns a daily average tone series, free. Stored as gdelt_avg_tone, gdelt_worst_day_tone, gdelt_negative_day_pct and gdelt_tone_decline (earlier half minus recent half, so positive means coverage is worsening). Verified live: 86 daily tone points for TCS over 3 months. Remaining gap is per-event-type breakdown. Caveat: GDELT rate limits to ~1 request/5s, so it runs as a scheduled batch, not per web request. GDELT dates each tone point, and the observation window is stored. Backfill is recorded as a warning, not a blocker: this source does not restate, so today's copy is what would have been seen at a past date."
